image_id,average_rating_ava,average_rating_ava_clip,image_path,stats,nima_technical_result,nima_aesthetic_result,nima_clip_aesthetic_result,great_picture,average_picture,subpar_picture,level_1,level_2,level_3
656185,5.49079754601227,6.121794871794871,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/656185.jpg,"{'nima_technical_result': 5.324502170085907, 'nima_aesthetic_result': 5.9399131821896844, 'nima_clip_aesthetic_result': 6.094704829152079, 'great_picture': 73.30622673034668, 'average_picture': 21.891823410987854, 'subpar_picture': 4.8019565641880035, 'level_1': 'Artistic photography', 'level_2': 'Double exposure photography', 'level_3': None}",5.324502170085907,5.9399131821896844,6.094704829152079,73.30622673034668,21.891823410987854,4.8019565641880035,Artistic photography,Double exposure photography,
334575,4.821428571428571,4.979057591623037,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/334575.jpg,"{'nima_technical_result': 5.881415963172913, 'nima_aesthetic_result': 4.88182982257058, 'nima_clip_aesthetic_result': 5.903967323478355, 'great_picture': 54.161232709884644, 'average_picture': 29.457005858421326, 'subpar_picture': 16.381758451461792, 'level_1': 'Photographs of people', 'level_2': 'Portrait photography', 'level_3': 'Outdoor Portraits'}",5.881415963172913,4.88182982257058,5.903967323478355,54.161232709884644,29.457005858421326,16.381758451461792,Photographs of people,Portrait photography,Outdoor Portraits
505701,5.711764705882353,5.715151515151515,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/505701.jpg,"{'nima_technical_result': 6.776665477082133, 'nima_aesthetic_result': 5.594837509365831, 'nima_clip_aesthetic_result': 5.98925673829217, 'great_picture': 35.22980809211731, 'average_picture': 54.17104363441467, 'subpar_picture': 10.599152743816376, 'level_1': 'Photographs of people', 'level_2': 'Portrait photography', 'level_3': 'Studio Portraits'}",6.776665477082133,5.594837509365831,5.98925673829217,35.22980809211731,54.17104363441467,10.599152743816376,Photographs of people,Portrait photography,Studio Portraits
416348,4.76,5.235897435897436,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/416348.jpg,"{'nima_technical_result': 5.1139782294631, 'nima_aesthetic_result': 5.142799962886784, 'nima_clip_aesthetic_result': 5.858290924499897, 'great_picture': 92.56293177604675, 'average_picture': 7.076631486415863, 'subpar_picture': 0.3604419296607375, 'level_1': 'Nature photography', 'level_2': 'Wildlife photography', 'level_3': 'Animal Photography'}",5.1139782294631,5.142799962886784,5.858290924499897,92.56293177604675,7.076631486415863,0.3604419296607375,Nature photography,Wildlife photography,Animal Photography
488367,5.54696132596685,5.7175141242937855,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/488367.jpg,"{'nima_technical_result': 6.37586540915072, 'nima_aesthetic_result': 5.40144681791935, 'nima_clip_aesthetic_result': 5.894821970509838, 'great_picture': 59.71665978431702, 'average_picture': 31.00459575653076, 'subpar_picture': 9.278742223978043, 'level_1': 'Photographs of people', 'level_2': 'Portrait photography', 'level_3': 'Outdoor Portraits'}",6.37586540915072,5.40144681791935,5.894821970509838,59.71665978431702,31.00459575653076,9.278742223978043,Photographs of people,Portrait photography,Outdoor Portraits
252344,4.424710424710424,4.610236220472441,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/252344.jpg,"{'nima_technical_result': 5.990143556147814, 'nima_aesthetic_result': 4.397581703135074, 'nima_clip_aesthetic_result': 5.643431947184254, 'great_picture': 4.440487921237946, 'average_picture': 70.88686227798462, 'subpar_picture': 24.67265874147415, 'level_1': 'Photographs of people', 'level_2': 'Family photography', 'level_3': None}",5.990143556147814,4.397581703135074,5.643431947184254,4.440487921237946,70.88686227798462,24.67265874147415,Photographs of people,Family photography,
876005,5.220588235294118,5.318181818181818,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/876005.jpg,"{'nima_technical_result': 5.464748874306679, 'nima_aesthetic_result': 5.1358563674557445, 'nima_clip_aesthetic_result': 5.8274514289167225, 'great_picture': 42.46440529823303, 'average_picture': 37.149760127067566, 'subpar_picture': 20.38584053516388, 'level_1': 'Photographs of people', 'level_2': 'Family photography, Street photography', 'level_3': None}",5.464748874306679,5.1358563674557445,5.8274514289167225,42.46440529823303,37.149760127067566,20.38584053516388,Photographs of people,"Family photography, Street photography",
364962,5.014150943396227,5.456730769230769,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/364962.jpg,"{'nima_technical_result': 5.960388794541359, 'nima_aesthetic_result': 5.944793722191207, 'nima_clip_aesthetic_result': 6.057278721799349, 'great_picture': 78.97855639457703, 'average_picture': 17.274266481399536, 'subpar_picture': 3.747183084487915, 'level_1': 'Photographs of people', 'level_2': 'Documentary photography', 'level_3': None}",5.960388794541359,5.944793722191207,6.057278721799349,78.97855639457703,17.274266481399536,3.747183084487915,Photographs of people,Documentary photography,
859624,4.693069306930693,5.0761421319796955,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/859624.jpg,"{'nima_technical_result': 5.613367982208729, 'nima_aesthetic_result': 5.171398492297158, 'nima_clip_aesthetic_result': 5.966633085510754, 'great_picture': 70.05116939544678, 'average_picture': 22.0309779047966, 'subpar_picture': 7.917843014001846, 'level_1': 'Nature photography', 'level_2': 'Wildlife photography', 'level_3': 'Animal Photography'}",5.613367982208729,5.171398492297158,5.966633085510754,70.05116939544678,22.0309779047966,7.917843014001846,Nature photography,Wildlife photography,Animal Photography
828775,5.8734177215189876,6.431034482758621,/home/georgetheodosopoulos/CVII_project/image-quality-assessment-master_MINE/training_images/AVA_images/images/828775.jpg,"{'nima_technical_result': 5.31398107111454, 'nima_aesthetic_result': 5.251476720750361, 'nima_clip_aesthetic_result': 5.795406037854264, 'great_picture': 70.38106918334961, 'average_picture': 25.34450590610504, 'subpar_picture': 4.274414479732513, 'level_1': 'Nature photography', 'level_2': 'Landscape photography', 'level_3': 'Mountain Landscapes'}",5.31398107111454,5.251476720750361,5.795406037854264,70.38106918334961,25.34450590610504,4.274414479732513,Nature photography,Landscape photography,Mountain Landscapes
